a = 1, c = 5, m = 211
a = 1, c = 7, m = 211
a = 1, c = 9, m = 211
a = 1, c = 11, m = 211
a = 1, c = 13, m = 211
a = 1, c = 15, m = 211
a = 1, c = 17, m = 211
a = 1, c = 19, m = 211
a = 1, c = 21, m = 211
a = 1, c = 23, m = 211
a = 1, c = 25, m = 211
a = 1, c = 27, m = 211
a = 1, c = 29, m = 211
a = 1, c = 31, m = 211
a = 1, c = 33, m = 211
a = 1, c = 35, m = 211
a = 1, c = 37, m = 211
a = 1, c = 39, m = 211
a = 1, c = 41, m = 211
a = 1, c = 43, m = 211
a = 1, c = 45, m = 211
a = 1, c = 47, m = 211
a = 1, c = 49, m = 211
a = 1, c = 51, m = 211
a = 1, c = 53, m = 211
a = 1, c = 55, m = 211
a = 1, c = 57, m = 211
a = 1, c = 59, m = 211
a = 1, c = 61, m = 211
a = 1, c = 63, m = 211
a = 1, c = 65, m = 211
a = 1, c = 67, m = 211
a = 1, c = 69, m = 211
a = 1, c = 71, m = 211
a = 1, c = 73, m = 211
a = 1, c = 75, m = 211
a = 1, c = 77, m = 211
a = 1, c = 79, m = 211
a = 1, c = 81, m = 211
a = 1, c = 83, m = 211
a = 1, c = 85, m = 211
a = 1, c = 87, m = 211
a = 1, c = 89, m = 211
a = 1, c = 91, m = 211
a = 1, c = 93, m = 211
a = 1, c = 95, m = 211
a = 1, c = 97, m = 211
a = 1, c = 99, m = 211
a = 1, c = 101, m = 211
a = 1, c = 103, m = 211
a = 1, c = 105, m = 211
a = 1, c = 107, m = 211
a = 1, c = 109, m = 211
a = 1, c = 111, m = 211
a = 1, c = 113, m = 211
a = 1, c = 115, m = 211
a = 1, c = 117, m = 211
a = 1, c = 119, m = 211
a = 1, c = 121, m = 211
a = 1, c = 123, m = 211
a = 1, c = 125, m = 211
a = 1, c = 127, m = 211
a = 1, c = 129, m = 211
a = 1, c = 131, m = 211
a = 1, c = 133, m = 211
a = 1, c = 135, m = 211
a = 1, c = 137, m = 211
a = 1, c = 139, m = 211
a = 1, c = 141, m = 211
a = 1, c = 143, m = 211
a = 1, c = 145, m = 211
a = 1, c = 147, m = 211
a = 1, c = 149, m = 211
a = 1, c = 151, m = 211
a = 1, c = 153, m = 211
a = 1, c = 155, m = 211
a = 1, c = 157, m = 211
a = 1, c = 159, m = 211
a = 1, c = 161, m = 211
a = 1, c = 163, m = 211
a = 1, c = 165, m = 211
a = 1, c = 167, m = 211
a = 1, c = 169, m = 211
a = 1, c = 171, m = 211
a = 1, c = 173, m = 211
a = 1, c = 175, m = 211
a = 1, c = 177, m = 211
a = 1, c = 179, m = 211
a = 1, c = 181, m = 211
a = 1, c = 183, m = 211
a = 1, c = 185, m = 211
a = 1, c = 187, m = 211
a = 1, c = 189, m = 211
a = 1, c = 191, m = 211
a = 1, c = 193, m = 211
a = 1, c = 195, m = 211
a = 1, c = 197, m = 211
a = 1, c = 199, m = 211
a = 1, c = 7, m = 223
a = 1, c = 9, m = 223
a = 1, c = 11, m = 223
a = 1, c = 13, m = 223
a = 1, c = 15, m = 223
a = 1, c = 17, m = 223
a = 1, c = 19, m = 223
a = 1, c = 21, m = 223
a = 1, c = 23, m = 223
a = 1, c = 25, m = 223
a = 1, c = 27, m = 223
a = 1, c = 29, m = 223
a = 1, c = 31, m = 223
a = 1, c = 33, m = 223
a = 1, c = 35, m = 223
a = 1, c = 37, m = 223
a = 1, c = 39, m = 223
a = 1, c = 41, m = 223
a = 1, c = 43, m = 223
a = 1, c = 45, m = 223
a = 1, c = 47, m = 223
a = 1, c = 49, m = 223
a = 1, c = 51, m = 223
a = 1, c = 53, m = 223
a = 1, c = 55, m = 223
a = 1, c = 57, m = 223
a = 1, c = 59, m = 223
a = 1, c = 61, m = 223
a = 1, c = 63, m = 223
a = 1, c = 65, m = 223
a = 1, c = 67, m = 223
a = 1, c = 69, m = 223
a = 1, c = 71, m = 223
a = 1, c = 73, m = 223
a = 1, c = 75, m = 223
a = 1, c = 77, m = 223
a = 1, c = 79, m = 223
a = 1, c = 81, m = 223
a = 1, c = 83, m = 223
a = 1, c = 85, m = 223
a = 1, c = 87, m = 223
a = 1, c = 89, m = 223
a = 1, c = 91, m = 223
a = 1, c = 93, m = 223
a = 1, c = 95, m = 223
a = 1, c = 97, m = 223
a = 1, c = 99, m = 223
a = 1, c = 101, m = 223
a = 1, c = 103, m = 223
a = 1, c = 105, m = 223
a = 1, c = 107, m = 223
a = 1, c = 109, m = 223
a = 1, c = 111, m = 223
a = 1, c = 113, m = 223
a = 1, c = 115, m = 223
a = 1, c = 117, m = 223
a = 1, c = 119, m = 223
a = 1, c = 121, m = 223
a = 1, c = 123, m = 223
a = 1, c = 125, m = 223
a = 1, c = 127, m = 223
a = 1, c = 129, m = 223
a = 1, c = 131, m = 223
a = 1, c = 133, m = 223
a = 1, c = 135, m = 223
a = 1, c = 137, m = 223
a = 1, c = 139, m = 223
a = 1, c = 141, m = 223
a = 1, c = 143, m = 223
a = 1, c = 145, m = 223
a = 1, c = 147, m = 223
a = 1, c = 149, m = 223
a = 1, c = 151, m = 223
a = 1, c = 153, m = 223
a = 1, c = 155, m = 223
a = 1, c = 157, m = 223
a = 1, c = 159, m = 223
a = 1, c = 161, m = 223
a = 1, c = 163, m = 223
a = 1, c = 165, m = 223
a = 1, c = 167, m = 223
a = 1, c = 169, m = 223
a = 1, c = 171, m = 223
a = 1, c = 173, m = 223
a = 1, c = 175, m = 223
a = 1, c = 177, m = 223
a = 1, c = 179, m = 223
a = 1, c = 181, m = 223
a = 1, c = 183, m = 223
a = 1, c = 185, m = 223
a = 1, c = 187, m = 223
a = 1, c = 189, m = 223
a = 1, c = 191, m = 223
a = 1, c = 193, m = 223
a = 1, c = 195, m = 223
a = 1, c = 197, m = 223
a = 1, c = 199, m = 223
a = 1, c = 7, m = 227
a = 1, c = 9, m = 227
a = 1, c = 11, m = 227
a = 1, c = 13, m = 227
a = 1, c = 15, m = 227
a = 1, c = 17, m = 227
a = 1, c = 19, m = 227
a = 1, c = 21, m = 227
a = 1, c = 23, m = 227
a = 1, c = 25, m = 227
a = 1, c = 27, m = 227
a = 1, c = 29, m = 227
a = 1, c = 31, m = 227
a = 1, c = 33, m = 227
a = 1, c = 35, m = 227
a = 1, c = 37, m = 227
a = 1, c = 39, m = 227
a = 1, c = 41, m = 227
a = 1, c = 43, m = 227
a = 1, c = 45, m = 227
a = 1, c = 47, m = 227
a = 1, c = 49, m = 227
a = 1, c = 51, m = 227
a = 1, c = 53, m = 227
a = 1, c = 55, m = 227
a = 1, c = 57, m = 227
a = 1, c = 59, m = 227
a = 1, c = 61, m = 227
a = 1, c = 63, m = 227
a = 1, c = 65, m = 227
a = 1, c = 67, m = 227
a = 1, c = 69, m = 227
a = 1, c = 71, m = 227
a = 1, c = 73, m = 227
a = 1, c = 75, m = 227
a = 1, c = 77, m = 227
a = 1, c = 79, m = 227
a = 1, c = 81, m = 227
a = 1, c = 83, m = 227
a = 1, c = 85, m = 227
a = 1, c = 87, m = 227
a = 1, c = 89, m = 227
a = 1, c = 91, m = 227
a = 1, c = 93, m = 227
a = 1, c = 95, m = 227
a = 1, c = 97, m = 227
a = 1, c = 99, m = 227
a = 1, c = 101, m = 227
a = 1, c = 103, m = 227
a = 1, c = 105, m = 227
a = 1, c = 107, m = 227
a = 1, c = 109, m = 227
a = 1, c = 111, m = 227
a = 1, c = 113, m = 227
a = 1, c = 115, m = 227
a = 1, c = 117, m = 227
a = 1, c = 119, m = 227
a = 1, c = 121, m = 227
a = 1, c = 123, m = 227
a = 1, c = 125, m = 227
a = 1, c = 127, m = 227
a = 1, c = 129, m = 227
a = 1, c = 131, m = 227
a = 1, c = 133, m = 227
a = 1, c = 135, m = 227
a = 1, c = 137, m = 227
a = 1, c = 139, m = 227
a = 1, c = 141, m = 227
a = 1, c = 143, m = 227
a = 1, c = 145, m = 227
a = 1, c = 147, m = 227
a = 1, c = 149, m = 227
a = 1, c = 151, m = 227
a = 1, c = 153, m = 227
a = 1, c = 155, m = 227
a = 1, c = 157, m = 227
a = 1, c = 159, m = 227
a = 1, c = 161, m = 227
a = 1, c = 163, m = 227
a = 1, c = 165, m = 227
a = 1, c = 167, m = 227
a = 1, c = 169, m = 227
a = 1, c = 171, m = 227
a = 1, c = 173, m = 227
a = 1, c = 175, m = 227
a = 1, c = 177, m = 227
a = 1, c = 179, m = 227
a = 1, c = 181, m = 227
a = 1, c = 183, m = 227
a = 1, c = 185, m = 227
a = 1, c = 187, m = 227
a = 1, c = 189, m = 227
a = 1, c = 191, m = 227
a = 1, c = 193, m = 227
a = 1, c = 195, m = 227
a = 1, c = 197, m = 227
a = 1, c = 199, m = 227
a = 1, c = 7, m = 229
a = 1, c = 9, m = 229
a = 1, c = 11, m = 229
a = 1, c = 13, m = 229
a = 1, c = 15, m = 229
a = 1, c = 17, m = 229
a = 1, c = 19, m = 229
a = 1, c = 21, m = 229
a = 1, c = 23, m = 229
a = 1, c = 25, m = 229
a = 1, c = 27, m = 229
a = 1, c = 29, m = 229
a = 1, c = 31, m = 229
a = 1, c = 33, m = 229
a = 1, c = 35, m = 229
a = 1, c = 37, m = 229
a = 1, c = 39, m = 229
a = 1, c = 41, m = 229
a = 1, c = 43, m = 229
a = 1, c = 45, m = 229
a = 1, c = 47, m = 229
a = 1, c = 49, m = 229
a = 1, c = 51, m = 229
a = 1, c = 53, m = 229
a = 1, c = 55, m = 229
a = 1, c = 57, m = 229
a = 1, c = 59, m = 229
a = 1, c = 61, m = 229
a = 1, c = 63, m = 229
a = 1, c = 65, m = 229
a = 1, c = 67, m = 229
a = 1, c = 69, m = 229
a = 1, c = 71, m = 229
a = 1, c = 73, m = 229
a = 1, c = 75, m = 229
a = 1, c = 77, m = 229
a = 1, c = 79, m = 229
a = 1, c = 81, m = 229
a = 1, c = 83, m = 229
a = 1, c = 85, m = 229
a = 1, c = 87, m = 229
a = 1, c = 89, m = 229
a = 1, c = 91, m = 229
a = 1, c = 93, m = 229
a = 1, c = 95, m = 229
a = 1, c = 97, m = 229
a = 1, c = 99, m = 229
a = 1, c = 101, m = 229
a = 1, c = 103, m = 229
a = 1, c = 105, m = 229
